Otilia Jones,83,92,78,55,58,65,82,63,81,80,73,98,66,66,99,92,56,61,79,86,86,97,68
Cleta Bednar,62,90,70,76,96,79,72,63,63,96,76,88,93,65,94,55,78,82,61,60,88,88,68
Devyn Dare,68,62,97,67,82,91,68,83,71,62,96,62,58,87,71,69,60,80,98,63,98,95,93
Selena Romaguera,65,85,64,96,95,87,59,74,69,58,95,81,70,62,59,84,68,90,83,81,69,96,69
Trevion DuBuque,100,63,87,55,62,76,96,77,70,57,63,55,86,94,60,77,75,70,95,55,81,87,62
Reed Aufderhar,69,59,67,98,86,61,75,60,71,80,89,59,100,59,79,71,71,86,92,74,64,66,97
Braden Rodriguez,82,93,76,74,61,69,71,89,81,90,67,60,64,94,80,80,90,88,89,99,74,65,86
Rodrigo Runolfsdottir,55,60,76,59,68,80,92,65,95,57,56,58,88,60,87,80,98,56,65,55,81,95,100
Mark Thiel,87,72,64,74,80,87,72,58,57,91,80,90,61,91,83,64,77,55,68,60,89,79,79
Maynard Carroll,97,79,76,94,68,62,85,76,88,80,74,63,62,100,98,80,99,90,94,93,57,83,84
Mikel Ebert,65,70,79,62,75,91,79,95,71,85,63,82,56,68,68,80,57,67,95,80,67,77,84
Robert Hegmann,67,71,98,57,55,84,57,100,79,56,85,68,62,97,63,86,79,75,94,83,72,80,86
Rogelio Baumbach,98,83,84,82,87,77,70,94,93,73,59,86,66,86,62,97,84,97,62,67,85,62,69
Hazel McClure,86,94,92,99,56,93,100,59,73,93,86,99,100,96,59,90,86,80,56,64,99,69,91
Claud Treutel,86,75,73,70,58,94,61,75,72,58,93,60,84,87,98,96,59,79,90,97,96,60,93
Myah Hermann,84,68,79,81,73,82,83,94,80,61,85,73,60,71,94,72,69,81,71,88,87,67,90
Dianna Swaniawski,96,71,76,82,84,73,89,88,80,92,65,90,65,98,59,100,80,77,57,63,55,84,96
Lexus Little,77,97,86,74,85,68,91,63,74,56,65,83,90,66,95,58,75,58,76,85,75,67,55
Lourdes Kassulke,98,63,79,72,62,68,75,96,76,63,58,89,60,85,82,59,87,61,56,61,94,92,75
Blanche Maggio,98,69,61,91,98,77,93,93,79,84,57,87,87,64,96,86,85,82,84,82,81,93,69
Thelma D'Amore,67,96,83,60,93,56,69,99,81,88,62,67,86,57,60,73,86,78,71,69,90,66,55
Maude Rice,58,68,59,94,73,79,80,66,95,93,55,71,65,76,83,82,65,92,75,78,63,57,74
Mara Schuster,65,95,79,90,73,88,65,71,71,83,66,64,100,95,82,74,55,73,55,78,96,73,66
Kaela Runolfsdottir,87,61,94,57,94,81,85,80,76,98,98,60,78,93,69,97,60,72,89,84,73,82,60
Marlon Crist,94,93,56,80,67,77,76,63,57,84,56,71,75,95,80,58,67,75,86,78,68,89,69
Mabel Kautzer,69,67,85,59,80,59,97,99,77,64,82,73,56,78,88,64,81,83,74,56,81,87,82
Araceli Pacocha,82,61,66,81,82,79,85,61,84,63,72,56,73,75,99,100,70,89,59,84,100,60,82
Cedrick Halvorson,93,98,93,84,62,96,70,94,78,86,84,96,92,80,86,91,59,78,57,91,58,67,72
Kattie Boehm,57,59,90,92,82,73,59,89,72,58,66,55,65,66,99,64,57,89,74,63,57,74,71
Anna Price,57,98,76,56,56,75,59,93,87,80,83,63,88,63,70,74,99,82,77,97,71,93,97
Lyda Carter,74,62,77,94,99,78,82,81,83,80,71,71,90,67,84,92,81,91,99,83,66,82,93
Meaghan Kassulke,98,58,99,58,57,85,66,87,56,90,76,72,99,96,71,73,86,62,81,66,67,86,57
Richard Jacobi,60,58,65,73,81,60,63,65,88,59,76,57,60,63,91,62,81,90,61,100,79,69,64
Myah Dicki,72,77,96,71,69,83,80,95,79,75,83,93,88,97,76,68,76,65,63,75,73,89,73
Celine Swaniawski,73,71,95,74,98,75,98,62,97,75,93,63,77,72,77,58,61,73,63,71,98,56,67
Juliana Yost,93,93,62,91,74,74,60,83,95,82,97,94,74,90,72,77,75,81,83,93,86,64,58
Hardy Cronin,71,90,93,76,93,60,71,80,57,85,70,73,57,80,90,92,91,62,80,90,88,83,96
Raoul Stanton,69,71,94,100,73,96,80,95,60,86,99,90,91,65,93,79,59,69,98,98,93,91,69
Jarvis Baumbach,62,80,89,79,80,83,83,97,93,97,94,75,73,59,90,59,76,61,62,88,89,68,100
Jackie Ritchie,78,71,75,63,80,63,91,90,88,60,79,99,89,66,58,67,65,90,95,91,92,93,82
