Fanny Dicki,79,57,61,56,61,57,63,72,70,81,84,56,72,55,92,72,63,85
Juana Konopelski,66,68,93,75,61,99,72,62,97,81,84,66,94,89,91,66,77,60
Bertha Runolfsdottir,65,96,90,97,81,77,89,72,81,72,89,90,92,87,97,73,82,58
Vaughn Pfannerstill,87,81,79,59,56,68,89,82,84,64,93,69,88,81,73,56,92,80
Forrest Kohler,81,64,94,94,87,57,98,60,78,63,61,97,77,62,71,72,81,97
Brown Powlowski,64,83,85,100,59,79,80,55,61,91,92,70,56,61,88,78,87,90
Camren Cormier,70,95,59,69,77,93,75,66,87,99,72,82,62,76,68,86,81,68
Denis O'Hara,56,57,82,73,64,71,89,67,69,69,79,56,69,83,73,68,91,63
Colten Stracke,77,73,89,81,99,66,77,73,57,60,91,69,69,77,89,75,83,95
Hailie Smitham,55,90,66,64,81,55,90,80,77,75,70,56,73,56,94,67,61,65
Matilda Swaniawski,94,68,84,63,56,84,67,87,80,90,59,95,80,97,70,68,85,67
Abbey Rowe,66,67,82,95,60,72,77,86,96,71,60,68,62,100,55,75,78,64
Dane Emmerich,84,93,60,99,57,88,95,67,57,80,64,83,92,66,100,95,86,83
Magnus Kutch,85,81,77,85,85,92,69,90,84,95,90,95,76,91,73,88,83,88
Andres Mueller,88,74,64,77,99,60,76,61,55,83,93,94,80,69,84,61,97,94
Pink Jacobi,89,69,76,77,89,57,83,80,69,90,78,90,67,90,76,80,83,57
Citlalli Shanahan,60,82,58,87,70,75,95,60,66,80,97,96,78,80,67,72,82,82
Ottis Murazik,82,77,79,85,56,96,71,71,85,100,79,59,73,62,76,67,62,68
Bridget Sawayn,77,71,58,91,97,91,79,62,70,77,61,91,79,57,94,98,82,90
Keven Spencer,97,81,100,64,88,71,85,76,84,90,79,80,86,56,68,68,62,57
Alford Ruecker,96,80,89,70,79,58,62,84,83,100,60,61,96,88,81,97,78,58
Travon Donnelly,90,80,66,93,55,99,98,65,82,85,91,81,66,70,65,100,85,78
Rodrigo Denesik,98,89,84,97,67,59,56,100,73,83,85,57,79,81,77,72,76,92
Gudrun Ward,67,94,60,89,96,91,85,69,88,98,100,92,75,98,81,64,96,87
Shanel Hagenes,70,90,81,65,95,71,75,94,65,96,71,91,76,73,73,76,84,76
Alexandrine Vandervort,59,99,66,86,79,89,82,100,61,69,67,88,55,99,79,74,62,75
Alphonso Schneider,92,76,67,70,67,73,99,56,95,98,66,86,92,85,62,78,89,77
Lenore Gerhold,91,77,66,80,78,57,100,87,99,78,57,55,70,56,76,56,94,81
Jamison Jones,82,62,82,100,96,91,55,77,72,87,57,75,58,69,81,62,95,74
Vincenzo Hills,89,88,79,87,75,77,75,73,96,67,97,68,81,78,80,66,55,55
Brigitte Reichert,94,93,90,61,96,65,68,80,78,98,78,81,72,66,72,67,87,98
